prospect_quality,name,phone,website,has_website,about,work,url
HOT,Dusty Grimes Electrical,(682) 262-9042,,No,118 followers | Liscened and insured,,https://www.facebook.com/profile.php?id=61569901903647
HOT,Innovated Electrical LLC,(817) 233-7677,,No,Electrical Service Contractor,,https://www.facebook.com/profile.php?id=61584578306967
HOT,king mole tunneling specialist LLC,214-240-1384,,No,29 followers | excavación de tuneles,,https://www.facebook.com/profile.php?id=61554899197677
HOT,R Electrical Solutions,(469) 219-1042,,No,37 followers | Page · Local service,,https://www.facebook.com/profile.php?id=100062952024147
HOT,MTZ Electric,(682) 405-9683,,No,"43 followers | Safe, dependable electrical services for residential clients, investors, and builders.",,https://www.facebook.com/profile.php?id=61583545016851
HOT,LOWER VALLY Electric,(254) 302-9070,,No,In Buisness since 1989....,,https://www.facebook.com/profile.php?id=61578568232722
HOT,Ignitech Solution,663 168 2477,,No,"3 followers | Le brindamos soporte experto para el diseño, planeación y ejecución de proyectos eléctricos, desde modificaciones hasta sistemas complejos.",,https://www.facebook.com/profile.php?id=61577338930449
HOT,LJ BullDog Electric LLC,(678) 396-5925,,No,301 followers | Electrical Staffing Company,,https://www.facebook.com/profile.php?id=100083460094080
HOT,Knights electric,469-845-6216,,No,716 followers | When switches be tripping Call Knights Electric,,https://www.facebook.com/profile.php?id=100047779814358
HOT,"A/D Electrical Services, LLC.",(409) 540-4791,,No,"241 followers | Residential, Commercial, Industrial, Electrical and Instrumentation Service Company",,https://www.facebook.com/profile.php?id=100067215804514
WARM,Alpi Electric LLC,817-822-8952,http://www.alpielectric.com/,Yes,57 followers | Alpi Electric is an electrical services company.,,https://www.facebook.com/profile.php?id=61586600784248
WARM,Holeshot Electric LLC,(512) 595-9612,http://www.holeshotelec.com/,Yes,"210 followers | Specializing in commercial, residential, industrial, instrumentation & underground electric services",,https://www.facebook.com/profile.php?id=61559167406061
WARM,RM Electric,972-345-4984,http://www.rmelectricservices.com/,Yes,"336 followers | Electrical contractor New construction residential, commercial. Generac generators dealer, service",,https://www.facebook.com/profile.php?id=100067127777284
WARM,I²T Inspections and Electrical Services,706.438.2136,https://inspectionselectrical.com/,Yes,"20 followers | Inspection and Electrical Services company! We support residential, commercial, and industrial customers whether its outlets, ceiling fans, design, el",,https://www.facebook.com/profile.php?id=100094518402256
WARM,Elliott Electrical Services,281-541-9430,https://share.google/rDDwXz5HlZEejVD2d,Yes,1.4K followers | ⚡ Powered by Faith. Grounded in Service. Wired to Serve. Family-owned & operated since 1999. Licensed & Insured (TECL #26771). Commercial • Residentia,,https://www.facebook.com/profile.php?id=100063839221733
WARM,1st Electric Response Inc.,(904) 226-6788,https://www.1stelectricresponse.org/,Yes,40 followers | Electrical contractor,,https://www.facebook.com/profile.php?id=100067004346793
WARM,ChargePlus LLC,469-885-1211,https://api.whatsapp.com/send,Yes,"9 followers | ChargePlus LLC, we are a small company for residential services and we are specialised in residential EV charging installation",,https://www.facebook.com/profile.php?id=61572264938818
WARM,Scale and Change Construction Staffing,(469) 314-1346,http://www.scaleandchange.com/,Yes,"944 followers | Changing the perception of Contractors' use of staffing through outstanding customer service, rigorous testing and screening, technology, and commitme",,https://www.facebook.com/profile.php?id=100063661006338
WARM,N5 Electric LLC,(325) 341-0312,https://www.n5electric.com/,Yes,"157 followers | Our dedicated team is ready to attend to all your electrical need. As a family-owned business, we bring a personal touch to every service experience. ",,https://www.facebook.com/profile.php?id=61564052971255
WARM,"AStar Air Conditioning, Plumbing & Electric",(972) 797-9964,http://www.astardfw.com/,Yes,"711 followers | Astar HVAC, Plumbing, & Electric since 1996.",,https://www.facebook.com/profile.php?id=100063914109110
WARM,Brothers Jordan,817-424-8429,http://hecelectric.com/,Yes,Works at HEC Electric,,https://www.facebook.com/profile.php?id=100011390392508
WARM,"Wise Electrical Solutions, LLC",(512) 792-8664,https://api.whatsapp.com/send,Yes,"58 followers | We're proud to serve homeowners and business owners throughout Round Rock, TX. Whether you need",,https://www.facebook.com/profile.php?id=100093243322580
WARM,All Tapz Electric,469-298-8420,https://support.alltapz.com/support/tickets/new,Yes,211 followers | Your 24/7 Emergency Electrician | HVAC Repair Services,,https://www.facebook.com/profile.php?id=100062942544570
WARM,Gravity Electric Plumbing Heating & Air,(469) 833-2891,http://Gravity-electric.com/,Yes,"400 followers | For all your Electrical needs. Focusing on new commercial construction, renovation, residential and E",,https://www.facebook.com/profile.php?id=100049703089677
WARM,W3 Electric,972-793-0733,https://callw3.com/,Yes,2.8K followers | It is W3 Electric’s mission to provide honest guidance and recommendations to our customer’s electrical needs with a genuine and neighborly approach w,,https://www.facebook.com/profile.php?id=100064036447313
WARM,A and M Electrical LLC,(903) 519-1239,https://api.whatsapp.com/send,Yes,163 followers | We are a family owned and operated Electrical company with 25 plus years experience. TECL#591326,,https://www.facebook.com/profile.php?id=100087220802370
WARM,Construction Solutions Group,(972) 922-8994,http://www.csg-usa.com/,Yes,1K followers | CSG: Top DFW General Contractor & Roofing Expert. Quality work for your home!,,https://www.facebook.com/profile.php?id=100066696684709
WARM,"Green-Energy-Products.com, LLC",(305) 251-9630,https://api.whatsapp.com/send,Yes,261 followers | https://Green-Energy-Products.com: Green-Energy-Products is a full service energy efficiency consultancy. Specializing in Smart and IoT technology's,,https://www.facebook.com/profile.php?id=100063773973917
WARM,PDQ Staffing Inc,(817) 332-1985,https://www.pdqstaffing.com/contact-us/find-a-location,Yes,4.5K followers | Specializing is staffing for light industrial and skilled trade positions. Over 24 years experience,,https://www.facebook.com/profile.php?id=100059348116273
WARM,Electric Pros,(817) 229-2624,https://electric-pros.com/,Yes,"444 followers | Dallas Electrician. We're specialists in the service and installation of electrical systems in DFW, and have a comprehensive knowledge of new technolo",,https://www.facebook.com/profile.php?id=100068239684395
WARM,3rd Rock Electrical Contractors,210-643-3397,https://www.3rdRockelectric.com/,Yes,476 followers | Full service electrical contractor no job too big or small so give us a call,,https://www.facebook.com/profile.php?id=100063457753610
WARM,High Access Solutions,(817) 243-6800,http://www.wereachhigh.com/,Yes,247 followers | High Access Solutions is a specialized atrium lift rental company and a high access facility services provider. We provide solutions to all your needs,,https://www.facebook.com/profile.php?id=100063769770824
WARM,Wellott Electric,(972) 214-8614,http://www.wellottelectric.com/,Yes,2.4K followers | We are a family owned and operated Electrical Contractor servicing the greater North Texas Area.,,https://www.facebook.com/profile.php?id=100083112823373
WARM,City of Dallas - Civil Service,(214) 670-5915,https://x.com/CODCareers,Yes,"3.3K followers | Municipal government of Dallas, Texas, USA.",,https://www.facebook.com/profile.php?id=100064569256583
COLD,Rex Pro,,,No,Plush; richly luxurious & expensive..,,https://www.facebook.com/profile.php?id=100031797742184
COLD,Wit Pro,,,No,4.9K followers | Project management services provider.,,https://www.facebook.com/profile.php?id=100004228543361
LOW,"Dunhill Engineers, LLC",,https://dunhillengineers.com/,Yes,Electrical Engineering firm with a drive to provide a relaible engineering solution.,,https://www.facebook.com/profile.php?id=100090005670477
LOW,Service Electrician,,http://Delta.Electric/,Yes,9 followers | Electrical Commercial And Residential Troubleshooting And Installation,,https://www.facebook.com/profile.php?id=100086775443885
LOW,Vibaldon Electrical Supply,,https://shope.ee/8eygO1TDsw,Yes,87 followers | All your needed tools is here,,https://www.facebook.com/profile.php?id=100083547723209
